iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,1.0,1.0,6.0,0.0,0.0,0.0,432000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9159230091786482e-9
2.0,1.0,1.0,6.0,1.0,0.0,0.0,435600.0,0.13320000000028465,0.0,0.0,0.0,0.0,0.0004894123500544245,-7.593366398906127e-7
3.0,1.0,1.0,6.0,2.0,0.0,0.0,439200.0,0.1331999999999205,0.0,0.0,0.0,0.0,0.0004860005815684465,-7.607200876597099e-7
4.0,1.0,1.0,6.0,3.0,0.0,0.0,442800.0,0.13319999999989562,0.0,0.0,0.0,0.0,0.0004826441446171559,-7.620346086902396e-7
5.0,1.0,1.0,6.0,4.0,0.0,0.0,446400.0,0.13320000000009813,0.0,0.0,0.0,0.0,0.0004793421880933679,-7.632823873637018e-7
6.0,1.0,1.0,6.0,5.0,0.0,0.0,450000.0,0.13319999999990273,0.0,0.0,0.0,0.0,0.0004760939162138933,-7.64465601879408e-7
7.0,1.0,1.0,6.0,6.0,0.0,0.0,453600.0,0.13320000000009458,0.0,0.0,0.0,0.0,0.00047289858808644003,-7.655862695557525e-7
8.0,1.0,1.0,6.0,7.0,0.0,0.0,457200.0,0.13319999999964338,0.0,0.0,0.0,0.0,0.0004697555172001877,-7.666463901643373e-7
9.0,1.0,1.0,6.0,8.0,0.0,0.0,460800.0,0.13320000000043564,0.0,0.0,0.0,0.0,0.0004666640710858927,-7.676478761023963e-7
10.0,1.0,1.0,6.0,9.0,0.0,0.0,464400.0,0.13319999999999865,0.0,0.0,0.0,0.0,0.0004636236710113262,-7.685925698256052e-7
11.0,1.0,1.0,6.0,10.0,0.0,0.0,468000.0,0.1331999999999134,0.0,0.0,0.0,0.0,0.0004606337917542058,-7.694822541210134e-7
12.0,1.0,1.0,6.0,11.0,0.0,0.0,471600.0,0.1331999999996505,0.0,0.0,0.0,0.0,0.0004576939614297504,-7.70318647482112e-7
13.0,1.0,1.0,6.0,12.0,0.0,0.0,475200.0,0.1332000000007767,0.0,0.0,0.0,0.0,0.00045480376137549405,-7.711034020489497e-7
14.0,1.0,1.0,6.0,13.0,0.0,0.0,478800.0,0.133200000000258,0.0,0.0,0.0,0.0,0.00045196282611081884,-7.718381207417014e-7
