Id,H[mm],Kunsat[mm_s]
78,70,0.00055
78,100,0.00027
79,10,0.00157
79,40,0.00047
79,70,0.00025
79,100,0.00017
80,10,0.00708
80,40,0.00329
80,70,0.00209
80,100,0.00157
81,10,0.00079
81,40,0.00063
81,70,0.00063
81,100,0.00056
82,10,0.00679
82,40,0.00517
82,70,0.00365
82,100,0.00184
83,10,0.00334
83,40,0.00282
83,70,0.00209
83,100,0.001
84,10,0.00376
84,40,0.00238
84,70,0.00119
84,100,0.00068
85,10,0.0011
85,40,0.00081
85,70,0.00069
85,100,0.00042
86,10,0.03915
86,40,0.0119
86,70,0.00482
86,100,0.00167
87,10,0.02794
87,40,0.0104
87,70,0.00445
87,100,0.0012
88,10,0.01493
88,40,0.00689
88,70,0.00282
88,100,0.00107
89,10,0.00303
89,40,0.00282
89,70,0.00183
89,100,0.0011
90,10,0.02318
90,40,0.01209
90,70,0.00376
90,100,0.00085
