Id,Diameter[mm],Cumul_Psd
31,0.063,0.63
31,0.125,0.87
31,0.25,0.99
31,0.5,1
31,1,1
31,2,1
32,0.002,0.22
32,0.006,0.34
32,0.01,0.4
32,0.02,0.51
32,0.063,0.75
32,0.125,0.88
32,0.25,0.98
32,0.5,1
32,1,1
32,2,1
33,0.002,0.23
33,0.006,0.34
33,0.01,0.41
33,0.02,0.52
33,0.063,0.76
33,0.125,0.88
33,0.25,0.97
33,0.5,1
33,1,1
33,2,1
34,0.002,0.25
34,0.006,0.35
34,0.01,0.44
34,0.02,0.59
34,0.063,0.86
34,0.125,0.94
34,0.25,0.99
34,0.5,1
34,1,1
34,2,1
35,0.002,0.26
35,0.006,0.37
35,0.01,0.45
35,0.02,0.58
35,0.063,0.85
35,0.125,0.95
35,0.25,0.99
35,0.5,1
35,1,1
35,2,1
36,0.002,0.39
36,0.006,0.59
36,0.01,0.7
36,0.02,0.79
36,0.063,0.93
36,0.125,0.97
36,0.25,0.99
36,0.5,1
36,1,1
36,2,1
37,0.002,0.4
37,0.006,0.58
37,0.01,0.67
37,0.02,0.78
37,0.063,0.92
37,0.125,0.97
37,0.25,1
37,0.5,1
37,1,1
37,2,1
38,0.002,0.3
38,0.006,0.47
38,0.01,0.56
38,0.02,0.67
38,0.063,0.86
38,0.125,0.95
38,0.25,0.99
38,0.5,1
38,1,1
38,2,1
39,0.002,0.22
39,0.006,0.31
39,0.01,0.36
39,0.02,0.48
39,0.063,0.79
39,0.125,0.9
39,0.25,0.98
39,0.5,0.99
39,1,1
39,2,1
40,0.002,0.24
40,0.006,0.32
40,0.01,0.39
40,0.02,0.51
40,0.063,0.82
40,0.125,0.94
40,0.25,0.99
40,0.5,1
40,1,1
40,2,1
41,0.002,0.22
41,0.006,0.32
41,0.01,0.37
41,0.02,0.5
41,0.063,0.82
41,0.125,0.94
41,0.25,0.99
41,0.5,1
41,1,1
41,2,1
42,0.002,0.2
42,0.006,0.28
42,0.01,0.34
42,0.02,0.46
42,0.063,0.75
42,0.125,0.83
42,0.25,0.91
42,0.5,0.98
42,1,1
42,2,1
43,0.002,0.29
43,0.006,0.37
43,0.01,0.45
43,0.02,0.58
43,0.063,0.83
43,0.125,0.89
43,0.25,0.94
43,0.5,0.98
43,1,1
43,2,1
44,0.002,0.21
44,0.006,0.31
44,0.01,0.36
44,0.02,0.5
44,0.063,0.82
44,0.125,0.89
44,0.25,0.94
44,0.5,0.99
44,1,1
44,2,1
45,0.002,0.23
45,0.006,0.32
45,0.01,0.38
45,0.02,0.51
45,0.063,0.83
45,0.125,0.88
45,0.25,0.93
45,0.5,0.98
45,1,1
45,2,1
46,0.002,0.22
46,0.006,0.3
46,0.01,0.38
46,0.02,0.53
46,0.063,0.84
46,0.125,0.9
46,0.25,0.95
46,0.5,0.99
46,1,1
46,2,1
47,0.002,0.25
47,0.006,0.35
47,0.01,0.43
47,0.02,0.57
47,0.063,0.87
47,0.125,0.92
47,0.25,0.95
47,0.5,0.99
47,1,1
47,2,1
48,0.002,0.25
48,0.006,0.37
48,0.01,0.44
48,0.02,0.57
48,0.063,0.87
48,0.125,0.92
48,0.25,0.95
48,0.5,0.98
48,1,1
48,2,1
49,0.002,0.24
49,0.006,0.37
49,0.01,0.45
49,0.02,0.59
49,0.063,0.89
49,0.125,0.93
49,0.25,0.96
49,0.5,0.99
49,1,1
49,2,1
50,0.002,0.21
50,0.006,0.31
50,0.01,0.38
50,0.02,0.52
50,0.063,0.88
50,0.125,0.95
50,0.25,0.98
50,0.5,1
50,1,1
50,2,1
51,0.002,0.21
51,0.006,0.31
51,0.01,0.37
51,0.02,0.5
51,0.063,0.86
51,0.125,0.93
51,0.25,0.98
51,0.5,1
51,1,1
51,2,1
52,0.002,0.22
52,0.006,0.33
52,0.01,0.4
52,0.02,0.53
52,0.063,0.89
52,0.125,0.95
52,0.25,0.98
52,0.5,0.99
52,1,1
52,2,1
53,0.002,0.24
53,0.006,0.36
53,0.01,0.42
53,0.02,0.55
53,0.063,0.83
53,0.125,0.91
53,0.25,0.96
53,0.5,0.99
53,1,1
53,2,1
54,0.002,0.22
54,0.006,0.35
54,0.01,0.41
54,0.02,0.55
54,0.063,0.82
54,0.125,0.88
54,0.25,0.94
54,0.5,0.98
54,1,1
54,2,1
55,0.002,0.22
55,0.006,0.33
55,0.01,0.4
55,0.02,0.53
55,0.063,0.79
55,0.125,0.86
55,0.25,0.94
55,0.5,0.99
55,1,1
55,2,1
56,0.002,0.24
56,0.006,0.35
56,0.01,0.42
56,0.02,0.55
56,0.063,0.83
56,0.125,0.88
56,0.25,0.95
56,0.5,0.99
56,1,1
56,2,1
57,0.002,0.22
57,0.006,0.33
57,0.01,0.39
57,0.02,0.54
57,0.063,0.82
57,0.125,0.88
57,0.25,0.95
57,0.5,0.99
57,1,1
57,2,1
58,0.002,0.23
58,0.006,0.37
58,0.01,0.42
58,0.02,0.52
58,0.063,0.67
58,0.125,0.81
58,0.25,0.98
58,0.5,1
58,1,1
58,2,1
59,0.002,0.2
59,0.006,0.43
59,0.01,0.55
59,0.02,0.7
59,0.063,0.97
59,0.125,1
59,0.25,1
59,0.5,1
59,1,1
59,2,1
60,0.002,0.17
60,0.006,0.3
60,0.01,0.37
60,0.02,0.45
60,0.063,0.71
60,0.125,0.9
60,0.25,0.99
60,0.5,1
60,1,1
60,2,1
61,0.002,0.22
61,0.006,0.32
61,0.01,0.37
61,0.02,0.51
61,0.063,0.89
61,0.125,0.97
61,0.25,0.99
61,0.5,1
61,1,1
61,2,1
62,0.002,0.24
62,0.006,0.36
62,0.01,0.41
62,0.02,0.52
62,0.063,0.77
62,0.125,0.85
62,0.25,0.92
62,0.5,0.97
62,1,0.99
62,2,1
63,0.002,0.27
63,0.006,0.35
63,0.01,0.41
63,0.02,0.53
63,0.063,0.89
63,0.125,0.97
63,0.25,0.99
63,0.5,1
63,1,1
63,2,1
64,0.002,0.24
64,0.006,0.35
64,0.01,0.38
64,0.02,0.54
64,0.063,0.87
64,0.125,0.97
64,0.25,0.99
64,0.5,1
64,1,1
64,2,1
65,0.002,0.09
65,0.006,0.15
65,0.01,0.17
65,0.02,0.22
65,0.063,0.38
65,0.125,0.63
65,0.25,0.97
65,0.5,1
65,1,1
65,2,1
66,0.002,0.26
66,0.006,0.38
66,0.01,0.43
66,0.02,0.54
66,0.063,0.73
66,0.125,0.83
66,0.25,0.94
66,0.5,0.99
66,1,1
66,2,1
67,0.002,0.29
67,0.006,0.41
67,0.01,0.49
67,0.02,0.59
67,0.063,0.78
67,0.125,0.87
67,0.25,0.95
67,0.5,0.99
67,1,1
67,2,1
68,0.002,0.16
68,0.006,0.25
68,0.01,0.31
68,0.02,0.39
68,0.063,0.55
68,0.125,0.7
68,0.25,0.87
68,0.5,0.98
68,1,1
68,2,1
69,0.002,0.18
69,0.006,0.31
69,0.01,0.36
69,0.02,0.46
69,0.063,0.69
69,0.125,0.89
69,0.25,0.98
69,0.5,1
69,1,1
69,2,1
70,0.002,0.13
70,0.006,0.18
70,0.01,0.22
70,0.02,0.32
70,0.063,0.71
70,0.125,0.89
70,0.25,0.97
70,0.5,1
70,1,1
70,2,1
71,0.002,0.18
71,0.006,0.24
71,0.01,0.28
71,0.02,0.39
71,0.063,0.83
71,0.125,0.95
71,0.25,0.99
71,0.5,1
71,1,1
71,2,1
72,0.002,0.16
72,0.006,0.21
72,0.01,0.25
72,0.02,0.38
72,0.063,0.82
72,0.125,0.96
72,0.25,0.99
72,0.5,1
72,1,1
72,2,1
73,0.002,0.24
73,0.006,0.32
73,0.01,0.37
73,0.02,0.53
73,0.063,0.89
73,0.125,0.95
73,0.25,0.98
73,0.5,1
73,1,1
73,2,1
74,0.002,0.24
74,0.006,0.31
74,0.01,0.39
74,0.02,0.52
74,0.063,0.89
74,0.125,0.97
74,0.25,0.99
74,0.5,1
74,1,1
74,2,1
75,0.002,0.23
75,0.006,0.33
75,0.01,0.38
75,0.02,0.56
75,0.063,0.92
75,0.125,0.98
75,0.25,0.99
75,0.5,1
75,1,1
75,2,1
76,0.002,0.22
76,0.006,0.32
76,0.01,0.4
76,0.02,0.53
76,0.063,0.91
