iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,1.0,1.0,6.0,0.0,0.0,0.0,432000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7562190278236886e-10
2.0,1.0,1.0,6.0,1.0,0.0,0.0,435600.0,0.8315999999987582,0.0,0.0,0.0,0.0,0.3070513773140746,-1.6861532212162523e-10
3.0,1.0,1.0,6.0,2.0,0.0,0.0,439200.0,0.8315999999985451,0.0,0.0,0.0,0.0,0.31127341598708824,-1.6195273793232304e-10
4.0,1.0,1.0,6.0,3.0,0.0,0.0,442800.0,0.831600000000634,0.0,0.0,0.0,0.0,0.31558184480618223,-1.5562333635416238e-10
5.0,1.0,1.0,6.0,4.0,0.0,0.0,446400.0,0.8315999999987156,0.0,0.0,0.0,0.0,0.319974289253139,-1.4960711842050654e-10
6.0,1.0,1.0,6.0,5.0,0.0,0.0,450000.0,0.831600000000634,0.0,0.0,0.0,0.0,0.3244482410493177,-1.4388940754160864e-10
7.0,1.0,1.0,6.0,6.0,0.0,0.0,453600.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.3290010632056237,-1.3845678079850483e-10
8.0,1.0,1.0,6.0,7.0,0.0,0.0,457200.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.33362999574804064,-1.3329752031469462e-10
9.0,1.0,1.0,6.0,8.0,0.0,0.0,460800.0,0.831600000002723,0.0,0.0,0.0,0.0,0.33833216201854555,-1.283959191853911e-10
10.0,1.0,1.0,6.0,9.0,0.0,0.0,464400.0,0.8315999999965982,0.0,0.0,0.0,0.0,0.34310457559441687,-1.2374175224112714e-10
11.0,1.0,1.0,6.0,10.0,0.0,0.0,468000.0,0.8316000000034052,0.0,0.0,0.0,0.0,0.3479441476765217,-1.193203566473308e-10
12.0,1.0,1.0,6.0,11.0,0.0,0.0,471600.0,0.8315999999965697,0.0,0.0,0.0,0.0,0.3528476949751109,-1.1512311421973835e-10
13.0,1.0,1.0,6.0,12.0,0.0,0.0,475200.0,0.8316000000006767,0.0,0.0,0.0,0.0,0.35781194798266114,-1.1113765030923079e-10
14.0,1.0,1.0,6.0,13.0,0.0,0.0,478800.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.3628335596156802,-1.0735215063872169e-10
15.0,1.0,1.0,6.0,14.0,0.0,0.0,482400.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.3679091141191435,-1.0375780900024917e-10
16.0,1.0,1.0,6.0,15.0,0.0,0.0,486000.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.37303513622914863,-1.0034515039211941e-10
17.0,1.0,1.0,6.0,16.0,0.0,0.0,489600.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.3782081004622029,-9.7103536641074e-11
18.0,1.0,1.0,6.0,17.0,0.0,0.0,493200.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.38342444054211455,-9.402404092392694e-11
19.0,1.0,1.0,6.0,18.0,0.0,0.0,496800.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.3886805588380611,-9.109916604947287e-11
20.0,1.0,1.0,6.0,19.0,0.0,0.0,500400.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.39397283580339604,-8.832024417571593e-11
21.0,1.0,1.0,6.0,20.0,0.0,0.0,504000.0,0.8315999999999946,0.0,0.0,0.0,0.0,0.39929763933426443,-8.568015676049142e-11
