Id,Diameter[mm],Cumul_Psd
1,2,1
1,1,1
1,0.5,1
1,0.25,0.97
1,0.125,0.8
1,0.063,0.57
1,0.02,0.32
1,0.01,0.25
1,0.006,0.21
1,0.002,0.16
2,2,1
2,1,1
2,0.5,1
2,0.25,1
2,0.125,0.97
2,0.063,0.82
2,0.02,0.58
2,0.01,0.39
2,0.006,0.32
2,0.002,0.19
3,2,1
3,1,1
3,0.5,1
3,0.25,0.99
3,0.125,0.97
3,0.063,0.94
3,0.02,0.86
3,0.01,0.72
3,0.006,0.59
3,0.002,0.38
