Id,H[kPa],Kunsat[mm_h]
1,10,27.06372345
1,40,4.188433391
1,70,0.721699292
1,100,0.451062057
2,10,51.02639525
2,40,9.182334741
2,70,1.714035818
2,100,0.857017909
3,10,77.80820491
3,40,21.1999167
3,70,2.706372345
3,100,0.732975843
