Id,Porosity[-]
1,0.465606725
2,0.491393104
3,0.493361462
4,0.489320243
5,0.441837226
6,0.436951284
7,0.621128579
8,0.464649158
9,0.484487952
10,0.471614922
11,0.429558067
12,0.418205218
13,0.439361064
14,0.468283301
15,0.473810155
16,0.498710301
17,0.491948453
18,0.43860335
19,0.431479716
20,0.463010285
21,0.496495993
22,0.498939144
23,0.488296446
24,0.492225
25,0.482485
26,0.533814658
27,0.504051341
28,0.447499139
29,0.453733415
30,0.451539267
31,0.528181599
32,0.523132884
33,0.533925847
34,0.476874522
35,0.477873154
36,0.467247485
37,0.415069
38,0.444035271
39,0.463229329
40,0.443889623
41,0.413278039
42,0.432651754
43,0.482431835
44,0.457921115
45,0.469597234
46,0.484486122
47,0.445402692
48,0.42291
49,0.670093176
50,0.50959141
51,0.509839331
52,0.480464914
53,0.405126096
54,0.375026
55,0.59715257
56,0.516581621
57,0.482578619
58,0.449383305
59,0.419047072
60,0.433913488
61,0.574711702
62,0.479216384
63,0.458878117
64,0.400117
65,0.396192609
66,0.367694559
67,0.504025618
68,0.480241294
69,0.494536
70,0.445720473
71,0.408689516
72,0.470987201
73,0.478181589
74,0.4937344
75,0.452131765
76,0.484358625
77,0.397907145
78,0.473046431
79,0.473722601
80,0.480262541
81,0.449892153
82,0.455704
83,0.452918
84,0.462741204
85,0.445961085
86,0.427537316
87,0.347554
88,0.358081379
89,0.362468761
90,0.47114
91,0.41747567
92,0.391675453
93,0.427498211
94,0.384710581
95,0.417937942
96,0.521524123
97,0.520207867
98,0.484305369
99,0.410364361
100,0.392324036
101,0.410636484
102,0.557861302
103,0.524519304
104,0.562134032
105,0.453934
106,0.421392988
107,0.392236953
108,0.473124926
109,0.445567393
110,0.418938244
111,0.387037033
112,0.375985076
113,0.367049179
114,0.48005721
115,0.438662018
116,0.411370065
117,0.385683
118,0.38509404
119,0.366818687
120,0.470156113
121,0.430418995
122,0.438838572
123,0.41580917
124,0.391453
125,0.426690875
126,0.504827622
127,0.455043565
128,0.47198481
129,0.460499284
130,0.452567016
131,0.409478504
132,0.556523874
133,0.506526158
134,0.475917325
135,0.428446
136,0.438366115
137,0.420339766
138,0.590880634
139,0.509883357
140,0.509233359
141,0.432488159
142,0.426324677
143,0.401097029
144,0.532419088
145,0.502224545
146,0.488531019
147,0.484128439
148,0.449869479
149,0.432366
150,0.527003292
151,0.483651742
152,0.481395225
153,0.482410807
154,0.462808455
155,0.420021704
156,0.521261443
157,0.439733585
158,0.484230221
159,0.469541117
160,0.433855
161,0.391592399
162,0.596802831
163,0.488435794
164,0.5111842
165,0.450696282
166,0.437999863
167,0.38715453
168,0.547325416
169,0.505932619
170,0.453707732
171,0.427455344
172,0.442843207
173,0.448850304
174,0.545438208
175,0.511542233
176,0.514140361
177,0.464314172
178,0.4071511
179,0.557042564
180,0.489100224
181,0.458882517
182,0.445199655
183,0.443275608
184,0.409339416
185,0.57980054
186,0.516094644
187,0.460661759
188,0.414949392
189,0.399771
190,0.453274528
191,0.498266262
192,0.43480234
193,0.43448878
194,0.413563087
195,0.37500077
196,0.340674975
197,0.51929292
198,0.441677374
199,0.411596795
200,0.390320271
201,0.379664395
202,0.367284143
203,0.479680608
204,0.478258913
205,0.416021086
206,0.394620569
207,0.374972286
208,0.377050525
209,0.496922922
210,0.423701
211,0.480817622
212,0.39303942
213,0.358464134
214,0.387371151
215,0.56365751
216,0.555978
217,0.564425088
218,0.540471526
219,0.466808041
220,0.447447077
221,0.562160695
222,0.537724075
223,0.480264958
224,0.506237412
225,0.519657933
226,0.503157108
227,0.601222688
228,0.503787669
229,0.451765443
230,0.40256903
231,0.393889154
232,0.334996512
233,0.594622203
234,0.509639937
235,0.463133283
236,0.439841136
237,0.340105984
238,0.341639461
239,0.483470976
240,0.511504683
241,0.504940296
242,0.441588494
243,0.391894603
244,0.372280304
245,0.515756289
246,0.485565503
247,0.468881507
248,0.408064
249,0.365114946
250,0.366121581
251,0.568227743
252,0.468023027
253,0.456659567
254,0.449201
255,0.382400562
256,0.373931549
257,0.491325248
258,0.449970267
259,0.454469387
260,0.420307
261,0.361154
262,0.376079099
263,0.486467518
264,0.447781075
265,0.382949
266,0.462991921
267,0.480674043
268,0.471534
269,0.620907598
270,0.52671425
271,0.474349647
272,0.452255401
273,0.470661218
274,0.467454174
