Id,H[mm],Kunsat[mm_s]
62,70,0.0004
62,100,0.0003
63,0,0.0706
63,10,0.0224
63,40,0.0044
63,70,0.0026
63,100,0.0022
64,0,0.0289
64,10,0.0025
64,40,0.0002
64,70,0.0002
64,100,0.0001
65,0,0.3852
65,10,0.0276
65,40,0.0001
65,70,0.0001
66,0,0.3852
66,10,0.0376
66,40,0.0017
66,70,0.0007
66,100,0.0002
67,0,0.1733
67,10,0.0289
67,40,0.0063
67,70,0.0017
67,100,0.0005
68,0,0.1605
68,10,0.0205
68,40,0.0065
68,70,0.0020
68,100,0.0006
69,0,0.0578
69,10,0.0020
69,40,0.0012
69,70,0.0009
69,100,0.0006
70,0,0.0234
70,10,0.0075
70,40,0.0006
70,70,0.0002
70,100,0.0001
71,0,0.1444
71,10,0.0564
71,40,0.0046
71,70,0.0009
71,100,0.0003
72,0,0.0931
72,10,0.0168
72,40,0.0004
72,70,0.0003
72,100,0.0001
73,0,0.0642
73,10,0.0114
73,40,0.0020
73,70,0.0004
73,100,0.0001
74,0,0.4975
74,10,0.0447
74,40,0.0034
74,70,0.0011
74,100,0.0004
75,0,0.0706
75,10,0.0107
75,40,0.0050
75,70,0.0020
75,100,0.0009
76,0,0.2247
76,10,0.0125
76,40,0.0025
76,70,0.0013
76,100,0.0005
77,0,0.0193
77,10,0.0009
77,40,0.0008
77,70,0.0002
77,100,0.0001
78,0,0.0064
78,10,0.0015
78,40,0.0010
78,70,0.0006
78,100,0.0003
79,0,0.0364
79,10,0.0016
79,40,0.0005
79,70,0.0003
79,100,0.0002
80,0,0.0257
80,10,0.0071
80,40,0.0033
80,70,0.0021
80,100,0.0016
81,0,0.0043
81,10,0.0008
81,40,0.0006
81,70,0.0006
81,100,0.0006
82,0,0.0257
82,10,0.0068
82,40,0.0052
82,70,0.0037
82,100,0.0018
83,0,0.0075
83,10,0.0033
83,40,0.0028
83,70,0.0021
83,100,0.0010
84,0,0.0182
84,10,0.0038
84,40,0.0024
84,70,0.0012
84,100,0.0007
85,0,0.0060
85,10,0.0011
85,40,0.0008
85,70,0.0007
85,100,0.0004
86,0,0.1284
86,10,0.0392
86,40,0.0119
86,70,0.0048
86,100,0.0017
87,0,0.1862
87,10,0.0279
87,40,0.0104
