Id,Tinfilt[s],Cumul_Infiltration[mm]
1,66,5
1,180,10
1,379,15
1,612,20
1,883,25
1,1182,30
1,1603,35
1,1996,40
1,2522,45
1,2965,50
1,3420,55
1,3955,60
1,4483,65
1,5008,70
2,7,5
2,32,10
2,68,15
2,123,20
2,189,25
2,261,30
2,338,35
2,415,40
2,502,45
2,597,50
2,690,55
2,786,60
2,880,65
2,974,70
3,99,3.2
3,253,6.4
3,451,9.6
3,764,12.7
3,1079,15.9
3,1428,19.1
3,1786,22.3
3,2147,25.5
3,2514,28.7
4,42,5
4,120,10
4,245,15
4,412,20
4,608,25
4,843,30
4,1016,35
4,1260,40
4,1464,45
4,1669,50
4,1879,55
4,2091,60
5,75,3.2
5,177,6.4
5,240,9.6
5,344,12.8
5,441,16
5,514,19.3
5,645,24.3
5,804,29.3
5,966,34.3
5,1132,39.3
5,1299,44.3
5,1475,49.3
5,1653,54.3
5,1829,59.3
5,2007,64.3
6,4,5
6,28,10
6,95,15
6,186,20
6,283,25
6,378,30
6,494,35
6,611,40
6,753,45
6,892,50
6,1032,55
6,1179,60
7,109,5
7,245,10
7,399,15
7,627,20
7,909,25
7,1160,30
7,1415,35
7,1652,40
7,1907,45
7,2158,50
7,2409,55
8,18,5
8,71,10
8,149,15
8,249,20
8,369,25
8,510,30
8,653,35
8,808,40
8,994,45
8,1200,50
8,1405,55
8,1620,60
8,1863,65
8,2163,70
8,2467,75
8,2775,80
9,18,5
9,47,10
9,81,15
9,119,20
9,165,25
9,211,30
9,260,35
9,307,40
9,357,45
9,407,50
9,459,55
10,15,5
10,35,10
10,78,15
10,125,20
10,176,25
10,233,30
10,293,35
10,354,40
10,420,45
10,486,50
11,15,5
11,24,10
11,35,15
11,49,20
11,64,25
11,80,30
11,98,35
11,116,40
11,138,45
11,161,50
11,186,55
11,211,60
11,235,65
11,261,70
12,48,5
12,122,10
12,246,15
12,427,20
12,620,25
12,819,30
12,1080,35
12,1399,40
12,1726,45
12,2054,50
13,43,5
13,106,10
13,169,15
13,243,20
13,321,25
13,409,30
13,507,35
13,611,40
13,737,45
13,862,50
13,991,55
14,88,5
14,212,10
14,369,15
14,531,20
14,715,25
14,899,30
14,1089,35
14,1272,40
14,1478,45
14,1682,50
14,1902,55
14,2121,60
15,66,5
15,115,10
15,165,15
15,222,20
15,282,25
15,346,30
15,414,35
15,484,40
15,556,45
15,629,50
15,702,55
15,776,60
15,853,65
15,941,70
15,1036,75
15,1126,80
16,6,5
16,11,10
16,16,15
16,23,20
16,31,25
16,36,30
16,41,35
16,49,40
16,56,45
16,65,50
16,75,55
16,86,60
16,96,65
16,107,70
16,119,75
16,129,80
16,141,85
16,155,90
17,6,5
17,22,10
17,42,15
17,68,20
17,93,25
17,119,30
17,159,35
17,194,40
17,239,45
17,286,50
17,331,55
17,379,60
17,427,65
17,484,70
17,543,75
17,602,80
17,660,85
17,718,90
17,777,95
18,125,3
18,531,6
18,1139,9
18,1926,12
18,2836,15
18,3750,18
18,4657,21
18,5575,24
19,127,3.2
19,322,6.4
19,558,9.6
19,829,12.8
19,1145,16
19,1461,19.2
19,1776,22.4
19,2092,25.6
19,2407,28.8
20,16,5
20,45,10
20,81,15
20,112,20
20,158,25
20,212,30
20,266,35
20,320,40
20,377,45
20,441,50
20,501,55
20,566,60
20,629,65
21,80,5
21,412,10
21,1087,15
21,2117,20
21,3316,25
21,4765,30
21,6349,35
21,8062,40
22,43,5
22,168,10
22,320,15
22,485,20
22,655,25
22,839,30
22,1027,35
22,1221,40
22,1474,45
22,1828,50
22,2178,55
22,2533,60
22,2891,65
23,6,1.59
23,279,6.6
23,595,9.8
23,854,12.3
23,1143,14.8
23,1470,17.3
23,1802,19.8
23,2135,22.3
23,2482,24.8
23,2833,27.3
23,3185,29.8
24,56,5
24,187,10
24,430,15
24,742,20
24,1056,25
24,1368,30
24,1746,35
24,2111,40
24,2481,45
24,2848,50
25,147,5
25,568,10
25,1023,15
25,1503,20
25,1988,25
25,2470,30
25,2960,35
25,3464,40
26,34,5
26,163,10
26,350,15
26,575,20
26,803,25
26,1069,30
26,1327,35
26,1583,40
26,1842,45
27,46,5
27,97,10
27,229,15
27,425,20
27,633,25
27,838,30
27,1028,35
27,1273,40
27,1520,45
27,1765,50
27,2013,55
28,95,5
28,199,10
28,286,15
28,387,20
28,494,25
28,600,30
28,715,35
28,827,40
28,964,45
28,1100,50
28,1238,55
29,506,5
29,1179,10
29,1853,15
29,2253,20
29,2735,25
29,3160,30
29,3590,35
29,4042,40
29,4498,45
29,4948,50
30,10,5
30,40,10
30,119,15
30,229,20
30,340,25
30,466,30
30,591,35
30,717,40
30,844,45
30,977,50
30,1106,55
31,24,5
31,145,10
31,312,15
31,479,20
31,707,25
31,975,30
31,1250,35
31,1546,40
31,1860,45
31,2213,50
31,2556,55
31,2911,60
32,114,5
32,748,10
32,2971,15
32,6093,20
32,10912,25
33,74,5
33,378,10
33,819,15
33,1324,20
33,2329,25
33,3371,30
33,4434,35
34,58,5
34,124,10
34,194,15
34,268,20
34,343,25
34,415,30
34,492,35
34,582,40
34,673,45
34,769,50
34,869,55
34,975,60
34,1081,65
35,56,5
35,107,10
35,161,15
35,234,20
35,316,25
