iD,Year,Month,Day,Hour,Minute,Second,∑T[Hour],ΔPr_Through[mm/day],ΔPet[mm/day],ΔSink[mm/day],ΔEvaporation[mm/day],Hpond[mm],Recharge[mm/day],∑WaterBalance_η_Profile[mm/day]
1.0,1.0,1.0,1.0,12.0,0.0,0.0,43200.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1420851656839816e-7
2.0,1.0,1.0,1.0,13.0,0.0,0.0,46800.0,2.244209412307839,0.0,0.0,0.0,0.0,6.545866966200117e-7,-1.0278892885969647e-7
3.0,1.0,1.0,1.0,14.0,0.0,0.0,50400.0,2.20486000027433,0.0,0.0,0.0,0.0,6.54586696619988e-7,-6.115393052673104e-8
4.0,1.0,1.0,1.0,15.0,0.0,0.0,54000.0,2.169754051760613,0.0,0.0,0.0,0.0,6.545866966199947e-7,-4.3723025022991874e-8
5.0,1.0,1.0,1.0,16.0,0.0,0.0,57600.0,2.1377872556626727,0.0,0.0,0.0,0.0,6.545866966200218e-7,-3.4625380636971936e-8
6.0,1.0,1.0,1.0,17.0,0.0,0.0,61200.0,2.1111799726496443,0.0,0.0,0.0,0.0,6.545866966199592e-7,-2.8675238587550095e-8
7.0,1.0,1.0,1.0,18.0,0.0,0.0,64800.0,2.0873904476413117,0.0,0.0,0.0,0.0,6.545866966200286e-7,-2.456890339736822e-8
8.0,1.0,1.0,1.0,19.0,0.0,0.0,68400.0,2.0660233373876764,0.0,0.0,0.0,0.0,6.545866966199659e-7,-2.174682110605623e-8
9.0,1.0,1.0,1.0,20.0,0.0,0.0,72000.0,2.046758797699475,0.0,0.0,0.0,0.0,6.54586696619988e-7,-1.9407642845898124e-8
10.0,1.0,1.0,1.0,21.0,0.0,0.0,75600.0,2.0293396963104087,0.0,0.0,0.0,0.0,6.545866966200235e-7,-1.3283741297405591e-8
11.0,1.0,1.0,1.0,22.0,0.0,0.0,79200.0,2.013559401270797,0.0,0.0,0.0,0.0,6.54586696619949e-7,-7.909307995635829e-9
12.0,1.0,1.0,1.0,23.0,0.0,0.0,82800.0,1.9992123123439711,0.0,0.0,0.0,0.0,6.545866966200354e-7,-1.0360335102321493e-8
13.0,1.0,1.0,2.0,0.0,0.0,0.0,86400.0,1.9861339324880305,0.0,0.0,0.0,0.0,6.54586696619993e-7,-1.2533644760671652e-8
14.0,1.0,1.0,2.0,1.0,0.0,0.0,90000.0,1.974198401373755,0.0,0.0,0.0,0.0,6.54586696620032e-7,-1.2294870902453188e-8
15.0,1.0,1.0,2.0,2.0,0.0,0.0,93600.0,1.9632417695751627,0.0,0.0,0.0,0.0,6.545866966199371e-7,-1.210195116095875e-8
16.0,1.0,1.0,2.0,3.0,0.0,0.0,97200.0,1.9532117519992909,0.0,0.0,0.0,0.0,6.545866966199846e-7,2.7000661781830342e-8
17.0,1.0,1.0,2.0,4.0,0.0,0.0,100800.0,1.9439977456198108,0.0,0.0,0.0,0.0,6.545866966200049e-7,3.1675098009593186e-8
18.0,1.0,1.0,2.0,5.0,0.0,0.0,104400.0,1.9355239352757536,0.0,0.0,0.0,0.0,6.54586696620032e-7,3.001126922371534e-8
19.0,1.0,1.0,2.0,6.0,0.0,0.0,108000.0,1.9274788096455922,0.0,0.0,0.0,0.0,6.545866966200252e-7,2.8166614682352662e-8
20.0,1.0,1.0,2.0,7.0,0.0,0.0,111600.0,1.9201490766111533,0.0,0.0,0.0,0.0,6.545866966198592e-7,1.731732819893465e-8
21.0,1.0,1.0,2.0,8.0,0.0,0.0,115200.0,1.9135245268440144,0.0,0.0,0.0,0.0,6.545866966201404e-7,2.14206939561559e-8
22.0,1.0,1.0,2.0,9.0,0.0,0.0,118800.0,1.9073884120897162,0.0,0.0,0.0,0.0,6.545866966201879e-7,5.1456126126021775e-8
23.0,1.0,1.0,2.0,10.0,0.0,0.0,122400.0,1.9017046451056387,0.0,0.0,0.0,0.0,6.545866969558264e-7,4.9041264590528964e-8
24.0,1.0,1.0,2.0,11.0,0.0,0.0,126000.0,1.8964326438641308,0.0,0.0,0.0,0.0,6.545872650142e-7,5.2742559261270965e-8
25.0,1.0,1.0,2.0,12.0,0.0,0.0,129600.0,1.891533195301463,0.0,0.0,0.0,0.0,6.555409854126455e-7,6.529961441014201e-8
26.0,1.0,1.0,2.0,13.0,0.0,0.0,133200.0,1.886983747382999,0.0,0.0,0.0,0.0,1.9269499763446977e-6,6.243197919416673e-8
27.0,1.0,1.0,2.0,14.0,0.0,0.0,136800.0,1.882745541917899,0.0,0.0,0.0,0.0,0.00042217413026495896,6.023491313546205e-8
28.0,1.0,1.0,2.0,15.0,0.0,0.0,140400.0,1.8787885105074906,0.0,0.0,0.0,0.0,0.010099361872400035,5.883225731469532e-8
29.0,1.0,1.0,2.0,16.0,0.0,0.0,144000.0,1.875104708323832,0.0,0.0,0.0,0.0,0.053737722409814115,3.741016575889978e-8
30.0,1.0,1.0,2.0,17.0,0.0,0.0,147600.0,1.8716742043256431,0.0,0.0,0.0,0.0,0.14431801606767447,1.4536898298797695e-8
31.0,1.0,1.0,2.0,18.0,0.0,0.0,151200.0,1.8684503459254103,0.0,0.0,0.0,0.0,0.27056537840853334,1.2846653061335397e-9
32.0,1.0,1.0,2.0,19.0,0.0,0.0,154800.0,1.8653882886558648,0.0,0.0,0.0,0.0,0.4156982684337365,-4.7091697157501325e-8
33.0,1.0,1.0,2.0,20.0,0.0,0.0,158400.0,1.8624508503017125,0.0,0.0,0.0,0.0,0.5659471524135462,-5.367262430803096e-8
34.0,1.0,1.0,2.0,21.0,0.0,0.0,162000.0,1.8596214328943574,0.0,0.0,0.0,0.0,0.7111463648759617,-3.774743473694753e-8
35.0,1.0,1.0,2.0,22.0,0.0,0.0,165600.0,1.8568473242752646,0.0,0.0,0.0,0.0,0.8472366095195198,-1.5704590567939445e-7
36.0,1.0,1.0,2.0,23.0,0.0,0.0,169200.0,1.854111254793466,0.0,0.0,0.0,0.0,0.971588427309996,-2.3924872760935494e-7
37.0,1.0,1.0,3.0,0.0,0.0,0.0,172800.0,1.851413054784274,0.0,0.0,0.0,0.0,1.0831997034443646,-2.4034001048180036e-7
