Thetas,Thetar,Ks,Sigma,Hm,ThetasMat,SigmaMac,HmMac,Of,Of_ThetaH,Of_Kunsat
0.465606725,0.16916776,0.027063723,4.3,800.0000000000003,0.465606725,4.3,800.0000000000003,0.21777852299764403,0.43555704599528805,0.0
0.471614922,0.236380166,0.077808205,4.3,800.0000000000003,0.471614922,4.3,800.0000000000003,0.24051968190407153,0.48103936380814305,0.0
