θs,θr,Ks,σ,Ψm,θsMat,σMac,ΨmMac,FieldName
2.0,0.45890623366,0.16210516493869012,0.04267225164417039,2.3022875180113704,2456.301102227641,0.45890623365999994,2.3022875180113704,2456.301102227641
4.0,0.53010272014,0.14582648298230277,0.12384867700849704,2.284928496630863,1753.0750696756304,0.53010272014,2.284928496630863,1753.0750696756304
5.0,0.48964213732,0.1514299599731383,0.019340898273116844,2.016157056131559,1858.7930092085774,0.48964213732,2.016157056131559,1858.7930092085774
6.0,0.5202509046,0.1342255571316041,0.6999999989135061,2.9425504016400814,4389.801090766661,0.5202509046,2.9425504016400814,4389.801090766661
8.0,0.57411492488,0.11990899779494683,0.699999999949479,2.685858612195456,800.0000000415389,0.57411492488,2.685858612195456,800.0000000415389
9.0,0.46561691693999996,0.12638609562834288,0.6999999897523641,2.8730080197567953,2123.404454590565,0.46561691693999996,2.8730080197567953,2123.404454590565
10.0,0.48871055716,0.12413769841438238,0.6999999935929082,2.96342151452496,2383.266995803423,0.48871055716,2.96342151452496,2383.266995803423
11.0,0.6338864880599999,0.1385174509818917,0.6999999997698154,2.5192837465728006,1568.795684704667,0.6338864880599999,2.5192837465728006,1568.795684704667
12.0,0.5151255124399999,0.1080110069327301,0.015564928139200174,2.715594378258618,14999.999934699992,0.5151255124399999,2.715594378258618,14999.999934699992
13.0,0.52650478832,0.09629087713361832,0.5979340941658233,3.1140110542475936,14999.999984529337,0.52650478832,3.1140110542475936,14999.999984529337
